== analysis info ==
RunID:20140314102604
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:10:26:04
== counters ==
64 21.000000 0.000000
62 23.000000 0.000000


== scan data ==
He4Scan 0.503290 2.395244
He4Scan 0.503310 2.545235
He4Scan 0.503330 2.695229
He4Scan 0.503350 2.545235
He4Scan 0.503370 3.820251
He4Scan 0.503390 4.195287
He4Scan 0.503410 4.120279
He4Scan 0.503430 5.170448
He4Scan 0.503450 4.420316
He4Scan 0.503470 5.029793
He4Scan 0.503490 4.045271
He4Scan 0.503510 5.545535
He4Scan 0.503530 6.295752
He4Scan 0.503550 7.721320
He4Scan 0.503570 8.696828
He4Scan 0.503590 10.948366
He4Scan 0.503610 16.128847
He4Scan 0.503630 79.564737
He4Scan 0.503650 1314.594694
He4Scan 0.503670 18724.353141
He4Scan 0.503690 54608.312267
He4Scan 0.503710 66191.762301
He4Scan 0.503730 68505.376487
He4Scan 0.503750 68731.701626
He4Scan 0.503770 68751.559180
He4Scan 0.503790 68762.060723
He4Scan 0.503810 68753.246007
He4Scan 0.503830 68765.730524
He4Scan 0.503850 68758.644285
He4Scan 0.503870 68752.233903
He4Scan 0.503890 68753.329631
He4Scan 0.503910 68760.036136
He4Scan 0.503930 68754.258134
He4Scan 0.503950 68731.322269
He4Scan 0.503970 68742.788716
He4Scan 0.503990 68735.706148
He4Scan 0.504010 68747.848387
He4Scan 0.504030 68736.085542
He4Scan 0.504050 68657.666309
He4Scan 0.504070 67404.575721
He4Scan 0.504090 46518.601598
He4Scan 0.504110 17197.575741
He4Scan 0.504130 3520.051978
He4Scan 0.504170 118.261712
He4Scan 0.504190 13.350571
He4Scan 0.504210 6.595854
He4Scan 0.504230 3.295225
He4Scan 0.504250 3.295225
He4Scan 0.504270 2.470239
He4Scan 0.504290 1.870293
He4Scan 0.504310 0.670510
He4Scan 0.504330 1.495345
He4Scan 0.504350 2.095269
He4Scan 0.504370 2.920223
He4Scan 0.504390 1.195397
He4Scan 0.504410 2.320249
He4Scan 0.504430 2.920223
He4Scan 0.504450 1.795302
He4Scan 0.504470 2.020276
He4Scan 0.504490 2.395244


He3Scan 0.392905 0.000000
He3Scan 0.392955 0.000000
He3Scan 0.393005 0.000000
He3Scan 0.393055 0.000000
He3Scan 0.393105 0.000611
He3Scan 0.393155 0.000000
He3Scan 0.393205 0.000000
He3Scan 0.393235 0.000000
He3Scan 0.393265 0.000000
He3Scan 0.393295 0.000000
He3Scan 0.393325 0.000000
He3Scan 0.393355 0.000000
He3Scan 0.393385 0.000000
He3Scan 0.393415 0.000000
He3Scan 0.393445 0.000000
He3Scan 0.393475 0.000000
He3Scan 0.393505 0.000000
He3Scan 0.393535 0.000000
He3Scan 0.393565 0.000000
He3Scan 0.393595 0.000000
He3Scan 0.393625 0.000000
He3Scan 0.393655 0.000000
He3Scan 0.393685 0.000000
He3Scan 0.393715 0.000000
