== analysis info ==
RunID:20140314174844
AnalysisID:1
AnalysisName:Furnace-1x0.06
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:17:48:44
AnalysisTimeStamp:3477678524
== counters ==
64 22.000000 
62 29.000000 


== scan data ==
He4Scan 0.503240 -0.154257 
He4Scan 0.503260 -0.379181 
He4Scan 0.503280 -0.004304 
He4Scan 0.503300 -0.679073 
He4Scan 0.503320 1.045426 
He4Scan 0.503340 1.420357 
He4Scan 0.503360 2.620232 
He4Scan 0.503380 0.895458 
He4Scan 0.503400 2.095269 
He4Scan 0.503420 1.645323 
He4Scan 0.503440 0.745492 
He4Scan 0.503460 3.454605 
He4Scan 0.503480 2.245255 
He4Scan 0.503500 2.395244 
He4Scan 0.503520 2.470239 
He4Scan 0.503540 2.395244 
He4Scan 0.503560 13.725968 
He4Scan 0.503580 434.393110 
He4Scan 0.503600 4901.607433 
He4Scan 0.503620 10906.158409 
He4Scan 0.503640 12312.020647 
He4Scan 0.503660 13418.776496 
He4Scan 0.503680 13452.337154 
He4Scan 0.503700 12998.024100 
He4Scan 0.503720 12017.676259 
He4Scan 0.503740 12817.110858 
He4Scan 0.503760 12640.401025 
He4Scan 0.503780 11961.926155 
He4Scan 0.503800 12165.526664 
He4Scan 0.503820 12931.776279 
He4Scan 0.503840 12223.803989 
He4Scan 0.503860 12108.309905 
He4Scan 0.503880 12717.181109 
He4Scan 0.503900 12805.921993 
He4Scan 0.503920 12107.097332 
He4Scan 0.503940 12159.929574 
He4Scan 0.503960 12939.008291 
He4Scan 0.503980 12026.416263 
He4Scan 0.504000 10765.303691 
He4Scan 0.504020 7819.211533 
He4Scan 0.504040 2293.360467 
He4Scan 0.504060 369.959954 
He4Scan 0.504080 64.611003 
He4Scan 0.504120 1.945284 
He4Scan 0.504140 0.895458 
He4Scan 0.504160 0.295607 
He4Scan 0.504180 0.070673 
He4Scan 0.504200 -0.079281 
He4Scan 0.504220 0.595528 
He4Scan 0.504240 -1.053924 
He4Scan 0.504260 -0.304207 
He4Scan 0.504280 -0.079281 
He4Scan 0.504300 0.145650 
He4Scan 0.504320 0.220628 
He4Scan 0.504340 -1.053924 
He4Scan 0.504360 0.595528 
He4Scan 0.504380 0.520547 
He4Scan 0.504400 0.445567 
He4Scan 0.504420 0.595528 
He4Scan 0.504440 0.070673 


He3Scan 0.392841 0.000000 
He3Scan 0.392891 0.000000 
He3Scan 0.392941 0.000000 
He3Scan 0.392991 0.000000 
He3Scan 0.393041 0.000000 
He3Scan 0.393091 0.000000 
He3Scan 0.393141 0.000000 
He3Scan 0.393171 0.000000 
He3Scan 0.393201 0.000000 
He3Scan 0.393231 0.000000 
He3Scan 0.393261 0.000000 
He3Scan 0.393291 0.000000 
He3Scan 0.393321 0.000000 
He3Scan 0.393351 0.000000 
He3Scan 0.393381 0.000000 
He3Scan 0.393411 0.000000 
He3Scan 0.393441 0.000000 
He3Scan 0.393471 0.000000 
He3Scan 0.393501 0.000000 
He3Scan 0.393531 0.000000 
He3Scan 0.393561 0.000000 
He3Scan 0.393591 0.000000 
He3Scan 0.393621 0.000000 
He3Scan 0.393651 0.000000 
He3Scan 0.393681 0.000000 
He3Scan 0.393711 0.000000 
He3Scan 0.393741 0.000000 
He3Scan 0.393771 0.000000 
He3Scan 0.393801 0.000000 
He3Scan 0.393831 0.002445 
He3Scan 0.393861 0.007945 
He3Scan 0.393891 0.005501 
He3Scan 0.393921 0.009168 
He3Scan 0.393951 0.009168 
He3Scan 0.393981 0.007334 
He3Scan 0.394011 0.004889 
He3Scan 0.394041 0.007334 
He3Scan 0.394071 0.007945 
He3Scan 0.394101 0.006112 
He3Scan 0.394131 0.011001 
He3Scan 0.394161 0.006723 
He3Scan 0.394191 0.002445 
He3Scan 0.394221 0.003056 
He3Scan 0.394251 0.000611 
He3Scan 0.394281 0.000000 
He3Scan 0.394311 0.000000 
He3Scan 0.394341 0.000000 
He3Scan 0.394371 0.000000 
He3Scan 0.394401 0.000000 
He3Scan 0.394431 0.000000 
He3Scan 0.394461 0.000000 
He3Scan 0.394491 0.000000 
He3Scan 0.394521 0.001834 
He3Scan 0.394551 0.039116 
He3Scan 0.394581 0.083735 
He3Scan 0.394611 0.142413 
He3Scan 0.394641 0.163807 
He3Scan 0.394671 0.177254 
He3Scan 0.394701 0.172364 
He3Scan 0.394731 0.169308 
He3Scan 0.394761 0.232269 
He3Scan 0.394791 0.292788 
He3Scan 0.394821 0.315407 
He3Scan 0.394851 0.294011 
He3Scan 0.394881 0.272004 
He3Scan 0.394911 0.212708 
He3Scan 0.394941 0.194981 
He3Scan 0.394971 0.171142 
He3Scan 0.395001 0.172364 
He3Scan 0.395031 0.169919 
He3Scan 0.395061 0.119186 
He3Scan 0.395091 0.055007 
He3Scan 0.395121 0.028726 
He3Scan 0.395151 0.008557 
He3Scan 0.395181 0.001834 
He3Scan 0.395211 0.000000 
He3Scan 0.395241 0.000611 
He3Scan 0.395271 0.000611 
He3Scan 0.395301 0.000000 
He3Scan 0.395331 0.000000 
He3Scan 0.395361 0.000000 
He3Scan 0.395391 0.000000 
He3Scan 0.395421 0.000000 
He3Scan 0.395461 0.000000 
He3Scan 0.395491 0.000000 
He3Scan 0.395521 0.000000 
He3Scan 0.395551 0.000000 
He3Scan 0.395581 0.000000 
He3Scan 0.395611 0.000000 
He3Scan 0.395641 0.000000 
He3Scan 0.395671 0.000000 
He3Scan 0.395701 0.000000 
He3Scan 0.395731 0.000000 
He3Scan 0.395761 0.000000 
He3Scan 0.395791 0.000000 
He3Scan 0.395821 0.000000 
He3Scan 0.395851 0.000000 


== peak centers ==
He4 0.503810 
He3 0.394008 


== analysis data ==
He4 271.978557 12207.679967 
He4 320.864353 12163.529927 
He4 369.551137 12140.497627 
He4 418.408932 12127.266218 
He4 467.145720 12116.053313 
He4 516.000514 12062.810699 
He4 564.894310 12044.607541 
He4 613.819108 12029.851122 
He4 662.840912 12024.834608 
He4 711.746710 11990.759759 


He3 282.701170 0.007563 
He3 289.460557 0.008442 
He3 296.275946 0.008824 
He3 303.087336 0.007143 
He3 309.891725 0.008251 
He3 331.515962 0.008671 
He3 338.152341 0.008327 
He3 344.969731 0.008442 
He3 351.793122 0.008709 
He3 358.595510 0.008709 
He3 380.277751 0.006799 
He3 387.013136 0.007754 
He3 393.836526 0.008213 
He3 400.635915 0.009206 
He3 407.438304 0.007984 
He3 429.066541 0.007984 
He3 435.749924 0.008671 
He3 442.556313 0.008213 
He3 449.408705 0.008327 
He3 456.196093 0.008251 
He3 477.818330 0.008136 
He3 484.602718 0.008671 
He3 491.440109 0.008098 
He3 498.230497 0.008289 
He3 505.022886 0.008136 
He3 526.661123 0.008213 
He3 533.493514 0.007907 
He3 540.288903 0.008366 
He3 547.149295 0.008633 
He3 553.916682 0.008098 
He3 575.571921 0.008289 
He3 582.389311 0.007449 
He3 589.173699 0.008175 
He3 596.017090 0.007411 
He3 602.800478 0.008786 
He3 624.656728 0.008289 
He3 631.443117 0.008786 
He3 638.258506 0.008213 
He3 645.072896 0.007716 
He3 651.890286 0.007563 
He3 673.495522 0.007640 
He3 680.290911 0.007831 
He3 687.115301 0.007563 
He3 693.942691 0.007258 
He3 700.734080 0.008022 
He3 722.584330 0.009664 
He3 729.376718 0.007716 
He3 736.189108 0.007793 
He3 742.994497 0.007793 
He3 749.828888 0.007754 


== extrapolation results ==
He4 12321.200959 10.680120 25.585967 
